objectid,parentid,format,filename,identifier,title,type,creator,contributor,description,date,subject
MBE016,,multiple,,N7433.4.H9 G45,Gifted,Book,"Hutchins, Edward H.","Adomeit, Ruth E., former owner","Hudson, N.Y. : Editions; 1 v. : col. ill. : 68 mm.; Text mounted in papier-mâché col. model of gift wrapped box, leather hinge mounted at bottom, magnetic fastener at top.",1991,Artists' books--Specimens; Toy and movable books--Specimens; Miniature books--Specimens
MBE017,MBE016,image/jpeg,N7433.4.H9G45-001.jpg,,,,,,,,
MBE018,MBE016,image/jpeg,N7433.4.H9G45-002.jpg,,,,,,,,
MBE019,,multiple,,N7433.4.H9 S68,Soft serve,Book,"Hutchins, Edward H.","Adomeit, Ruth E., former owner","[Cairo, N.Y.] : Editions; 1 sheet ([1] p.) : col. ill. : 68 cm. x 51 mm.; Scroll, mounted on wooden roller, within a plastic pink and buff pop-apart ice-cream cone, within a transparent blue plastic box, both with printed paper title labels.",1993,Artists' books--Specimens; Toy and movable books--Specimens; Miniature books--Specimens
MBE020,MBE019,image/jpeg,N7433.4.H9S68-001.jpg,,,,,,,,
MBE021,MBE019,image/jpeg,N7433.4.H9S68-002.jpg,,,,,,,,
MBE022,,multiple,,TX724.5.C5 L72,Takeout for two,Book,"Liflander, Pamela.",[N/A],"Philadelphia : Running Press; 31, [1] p. : 80 mm. + 1 container (with 20 items); Booklet is housed in a mini Chinese takeout container along with two placemats printed with the Chinese astrology animals and descriptions. Two decorative paper lanterns, two pairs of mini chopsticks, two black ceramic chopstick holders, and a dozen paper fortunes.",2002,Cooking; Chinese Miniature books--Specimens; Toy and movable books--Specimens
MBE023,MBE022,image/jpeg,TX724.5.C5L72-001.jpg,,,,,,,,
MBE024,MBE022,image/jpeg,TX724.5.C5L72-002.jpg,,,,,,,,
MBE025,,multiple,,DA447.P4 A4 1986,"Pepys pops up : moving events from the Diaries of Samuel Pepys, Esq 1660-1667",Book,"Adams, Maryline Poole.","Adomeit, Ruth E., former owner; Pepys, Samuel, 1633-1703. Diary. Selections.","Berkeley, Calif. : Poole Press; [14] p. : col. ill. : 77 mm.; Toy and movable book with pop-up and pull-tab figures mounted on or inserted between double leaves. Bound in red leather with strap closure, title pop-up also bound in red leather (39 x 22 mm.) mounted on upper cover. In a col. ill. lined wooden book-box.",1986,"Pepys, Samuel, 1633-1703, Diary, Selections; Miniature books--Specimens; Toy and movable books--Specimens"
MBE026,MBE025,image/jpeg,DA447.P4A41986-001.jpg,,,,,,,,
MBE027,MBE025,image/jpeg,DA447.P4A41986-002.jpg,,,,,,,,
MBE028,MBE025,image/jpeg,DA447.P4A41986-003.jpg,,,,,,,,
MBE029,MBE025,image/jpeg,DA447.P4A41986-004.jpg,,,,,,,,
MBE030,,multiple,,TX769.K35 T87 2011,The I love toast book,Book,"Kelly, Lynne.",Miniature Book Society InU,"[Gold Bar, WA : Lynne Kelly]; 2 v. : 70 mm. (76 mm in slipcase); Two volumes bound in tan boards, with paper illustration of toast affixed to each cover. In silver toaster-shaped slipcase. Each side of the ""toaster"" is hinged and when opened, a printed slip of paper is revealed on each side.",[2011],Bread; Toy and movable books--Specimens; Miniature books--Specimens
MBE031,MBE030,image/jpeg,TX769.K35T872011-001.jpg,,,,,,,,
MBE032,MBE030,image/jpeg,TX769.K35T872011-002.jpg,,,,,,,,
MBE033,MBE030,image/jpeg,TX769.K35T872011-003.jpg,,,,,,,,
MBE034,MBE030,image/jpeg,TX769.K35T872011-004.jpg,,,,,,,,
MBE035,,multiple,,N7433.4.M37 L65 1968,Lollipop book : to be devoured but not eaten : last will and jestament,Book,"Massmann, Robert E., -2013","Adomeit, Ruth E., former owner","[New Britain, Conn : REM Miniatures]; 1 v. (unpaged) : 80 x 40 x 40 mm.; Item is a book with pages fanned open in a circle, attached to a vertical rod with a wooden bead base, attached to a red octagonal cardboard platform.",[1968],"Thomajan, Puzant Kevork--Will; Miniature books--Specimens"
MBE036,MBE035,image/jpeg,N7433.4.M37L651968-001.jpg,,,,,,,,
MBE037,,multiple,,N7433.4.L43 S63,A small house,Book,"Leavitt, Nancy Ruth.","Kell, Liliane; Cowley, Abraham, 1618-1667. Wish.","Stillwater, Me. : [Persea Press?]; [24] p. : col. ill. : 48 mm.; Hand-painted pages with a miniature garden fold-out panorama. Hand-lettered with tiny cut-outs. Bound in the shape of a house in colored foils over sculpted boards.",1993,Artists' books; Miniature books--Specimens
MBE038,MBE037,image/jpeg,N7433.4.L43S63-001.jpg,,,,,,,,
MBE039,MBE037,image/jpeg,N7433.4.L43S63-002.jpg,,,,,,,,
